ip,hostname,port,status,rtt_ms,timestamp,error
192.168.1.18,,80,closed,1013.59,2025-10-05T12:12:08.571539Z,
192.168.1.21,,80,closed,1004.5,2025-10-05T12:12:08.572697Z,
192.168.1.15,,80,closed,1012.71,2025-10-05T12:12:08.570319Z,
192.168.1.8,,80,closed,1016.78,2025-10-05T12:12:08.565710Z,
192.168.1.32,,80,closed,1014.16,2025-10-05T12:12:08.577455Z,
192.168.1.38,,80,closed,1013.05,2025-10-05T12:12:08.579591Z,
192.168.1.40,,80,closed,1011.86,2025-10-05T12:12:08.580803Z,
192.168.1.44,,80,closed,1010.24,2025-10-05T12:12:08.582670Z,
192.168.1.49,,80,closed,1008.31,2025-10-05T12:12:08.585113Z,
192.168.1.50,,80,closed,1008.03,2025-10-05T12:12:08.585497Z,
192.168.1.52,,80,closed,1007.81,2025-10-05T12:12:08.586142Z,
192.168.1.53,,80,closed,1007.53,2025-10-05T12:12:08.586456Z,
192.168.1.54,,80,closed,1007.53,2025-10-05T12:12:08.586844Z,
192.168.1.56,,80,closed,1007.24,2025-10-05T12:12:08.587496Z,
192.168.1.59,,80,closed,1005.97,2025-10-05T12:12:08.588840Z,
192.168.1.31,,80,closed,1015.1,2025-10-05T12:12:08.577119Z,
192.168.1.35,,80,closed,1016.61,2025-10-05T12:12:08.578654Z,
192.168.1.42,,80,closed,1010.94,2025-10-05T12:12:08.581741Z,
192.168.1.48,,80,closed,1008.8,2025-10-05T12:12:08.584473Z,
192.168.1.58,,80,closed,1006.6,2025-10-05T12:12:08.588306Z,
192.168.1.33,,80,closed,1014.37,2025-10-05T12:12:08.577904Z,
192.168.1.41,,80,closed,1014.09,2025-10-05T12:12:08.581249Z,
192.168.1.43,,80,closed,1010.67,2025-10-05T12:12:08.582223Z,
192.168.1.45,,80,closed,1013.14,2025-10-05T12:12:08.583170Z,
192.168.1.51,,80,closed,1008.04,2025-10-05T12:12:08.585817Z,
192.168.1.55,,80,closed,1007.54,2025-10-05T12:12:08.587201Z,
192.168.1.61,,80,closed,1005.01,2025-10-05T12:12:08.589866Z,
192.168.1.64,,80,closed,1006.53,2025-10-05T12:12:08.591438Z,
192.168.1.62,,80,closed,1005.52,2025-10-05T12:12:08.590362Z,
192.168.1.34,,80,closed,1020.25,2025-10-05T12:12:08.578291Z,
192.168.1.36,,80,closed,1020.01,2025-10-05T12:12:08.578986Z,
192.168.1.37,,80,closed,1016.65,2025-10-05T12:12:08.579289Z,
192.168.1.57,,80,closed,1008.76,2025-10-05T12:12:08.587853Z,
192.168.1.46,,80,closed,1016.53,2025-10-05T12:12:08.583622Z,
192.168.1.47,,80,closed,1015.89,2025-10-05T12:12:08.584030Z,
192.168.1.60,,80,closed,1005.55,2025-10-05T12:12:08.589352Z,
192.168.1.63,,80,closed,1004.81,2025-10-05T12:12:08.590912Z,
192.168.1.39,,80,closed,1020.81,2025-10-05T12:12:08.579950Z,
192.168.1.69,,80,closed,1013.12,2025-10-05T12:12:08.593766Z,
